subcategory,cv,volatility_group,month_minus_3,month_minus_2,month_minus_1,prediction,historical_avg,actual,mape
薄鹽鯖魚,0.10179234712737732,低波動,13318.1,12488.0,14237.0,12433.745051803524,12233.493333333334,391.0,30.799859467528194
青花菜,0.4527624021454797,中波動,9348.0,14946.0,8642.0,9381.7,9442.633333333333,100.0,92.81700000000001
水煮蛋,0.33344903244319074,低波動,12850.0,8600.0,8770.0,11570.316594668613,10137.142857142857,1050.0,10.019349137779631
白花菜,0.3682803851167276,低波動,3752.0,5100.0,4862.0,2736.607639068987,3923.222222222222,60.0,44.61012731781645
玉米粒,0.6229212674299947,中波動,5716.0,6728.0,6556.0,5451.354262785833,3583.0,40.0,135.28385656964582
虱目魚肚,0.729608764701981,中波動,3786.0,2810.0,2120.0,2530.1309150998486,1477.7777777777778,100.0,24.301309150998485
白帶魚切塊,0.20629980498121278,低波動,1460.0,1152.18,1110.0,1432.2199373809663,1314.7655555555555,0.0,999.0
四季豆,0.5833281718516179,中波動,1822.0,2683.0,1081.0,1396.188323314283,1089.6666666666667,0.0,999.0
肉魚,0.491088794726578,中波動,1120.0,1090.0,1290.0,1163.5135993001104,820.3705555555556,10.0,115.35135993001104
脆皮預炸三節翅,0.23005176187544998,低波動,3425.0,3000.0,3050.0,3556.25,3556.25,0.0,999.0
暑魚清肉,0.3044701545888885,低波動,988.0,923.0,845.0,729.7288665320059,755.4444444444445,13.0,55.13298973323122
杏鮑菇下角料,0.2631980068373531,低波動,1323.0,1452.0,1551.0,1575.2415751982626,1242.6,30.0,51.508052506608756
吳郭魚,0.4246910159268207,中波動,767.3,1100.0,707.15,814.058331957642,657.5083333333333,0.0,999.0
蜜汁棒腿,0.5124960039554042,中波動,1060.0,1000.0,1120.0,989.8212631466346,646.6666666666666,0.0,999.0
白口魚,0.695944443855292,中波動,1270.0,1090.0,1100.0,1061.3643498554268,639.4444444444445,0.0,999.0
阿里山熟烤棒腿,0.5440495214987862,中波動,481.0,570.0,570.0,558.6848219889815,446.77777777777777,0.0,999.0
哈克魚,0.20965017966635574,低波動,558.5,490.0,490.0,483.81543496339356,410.4261111111111,0.0,999.0
烏魚切塊,0.31161284615261087,低波動,590.9,581.2,601.0,677.5117283499483,525.3407142857143,0.0,999.0
毛豆仁,0.29183971993489066,低波動,460.0,639.0,734.0,601.8209984540536,499.46153846153845,0.0,999.0
醬燒熟烤棒腿,1.7050855523234014,高波動,150.0,150.0,125.0,150.0,431.6666666666667,0.0,999.0
海苔柳葉魚,0.6610395643773943,中波動,10.0,10.0,130.0,160.99936008658966,326.4117647058824,0.0,999.0
三色混合蔬菜,0.22626829814148672,低波動,339.0,418.0,340.0,320.1069407551334,304.8888888888889,0.0,999.0
